License Year, Hunting District,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points, 4 or More Points
2004,270,md,N,221,1041,5,24,12,9,0,0,24,0,12
2004,270,md,R,1833,10860,6,341,68,266,5,33,308,5,61
2004,270,md,SUM,2054,11902,6,365,81,275,5,33,332,5,74
2004,270,wt,N,221,1041,5,27,22,5,0,2,26,7,15
2004,270,wt,R,1833,10860,6,264,166,88,10,7,257,70,83
2004,270,wt,SUM,2054,11902,6,291,188,93,10,9,282,77,98
2004,280,all_deer,N,88,508,6,29,29,0,0,4,26,11,19
2004,280,all_deer,R,157,777,5,50,43,7,0,2,48,9,34
2004,280,all_deer,SUM,245,1285,5,79,72,7,0,5,74,20,52
2004,280,md,N,88,508,6,20,20,0,0,0,20,11,9
2004,280,md,R,157,777,5,23,23,0,0,0,23,4,19
2004,280,md,SUM,245,1285,5,43,43,0,0,0,43,15,28
2004,280,wt,N,88,508,6,6,6,0,0,4,2,0,6
2004,280,wt,R,157,777,5,27,20,7,0,2,25,5,14
2004,280,wt,SUM,245,1285,5,32,26,7,0,5,27,5,20
2004,281,all_deer,N,113,655,6,55,51,0,4,4,51,18,33
2004,281,all_deer,R,1157,6899,6,405,356,43,6,18,387,97,257
2004,281,all_deer,SUM,1270,7554,6,459,407,43,10,22,438,115,290
2004,281,md,N,113,655,6,22,22,0,0,4,18,11,11
2004,281,md,R,1157,6899,6,105,97,4,4,4,101,33,65
2004,281,md,SUM,1270,7554,6,127,119,4,4,8,119,44,75
2004,281,wt,N,113,655,6,26,22,0,4,0,26,4,19
2004,281,wt,R,1157,6899,6,300,259,39,2,14,286,64,192
2004,281,wt,SUM,1270,7554,6,326,281,39,6,14,312,68,211
2004,282,all_deer,N,31,231,7,0,0,0,0,0,0,0,0
2004,282,all_deer,R,246,1505,6,125,93,32,0,7,118,28,59
2004,282,all_deer,SUM,277,1736,6,125,93,32,0,7,118,28,59
2004,282,md,N,31,231,7,0,0,0,0,0,0,0,0
2004,282,md,R,246,1505,6,43,38,5,0,1,42,17,16
2004,282,md,SUM,277,1736,6,43,38,5,0,1,42,17,16
2004,282,wt,N,31,231,7,0,0,0,0,0,0,0,0
2004,282,wt,R,246,1505,6,82,55,27,0,6,76,11,44
2004,282,wt,SUM,277,1736,6,82,55,27,0,6,76,11,44
2004,283,all_deer,N,78,366,5,20,20,0,0,0,20,4,16
2004,283,all_deer,R,1642,9519,6,467,393,73,0,23,444,154,237
2004,283,all_deer,SUM,1720,9885,6,486,413,73,0,23,464,158,253
2004,283,md,N,78,366,5,13,13,0,0,0,13,4,9
2004,283,md,R,1642,9519,6,120,118,2,0,0,120,68,50
2004,283,md,SUM,1720,9885,6,132,131,2,0,0,132,71,60
2004,283,wt,N,78,366,5,7,7,0,0,0,7,0,7
2004,283,wt,R,1642,9519,6,347,275,72,0,23,324,86,187
2004,283,wt,SUM,1720,9885,6,354,282,72,0,23,331,86,194
2004,284,all_deer,N,42,230,6,20,20,0,0,0,20,7,13
2004,284,all_deer,R,144,1287,9,66,42,24,0,46,20,12,29
2004,284,all_deer,SUM,186,1516,8,86,62,24,0,46,40,20,42
2004,284,md,N,42,230,6,16,16,0,0,0,16,7,9
2004,284,md,R,144,1287,9,7,7,0,0,1,6,6,1
2004,284,md,SUM,186,1516,8,23,23,0,0,1,22,13,11
2004,284,wt,N,42,230,6,4,4,0,0,0,4,0,4
2004,284,wt,R,144,1287,9,57,35,23,0,45,13,7,28
2004,284,wt,SUM,186,1516,8,61,38,23,0,45,16,7,32
2004,285,all_deer,N,198,1148,6,91,86,5,0,7,84,21,61
2004,285,all_deer,R,2729,15151,6,1284,873,386,21,73,1211,350,481
2004,285,all_deer,SUM,2927,16299,6,1374,958,391,21,80,1295,371,542
2004,285,md,N,198,1148,6,21,21,0,0,4,18,7,14
2004,285,md,R,2729,15151,6,133,118,15,0,8,125,40,72
2004,285,md,SUM,2927,16299,6,154,139,15,0,12,143,47,86
